slug;symbol;name;date;ranknow;open;high;low;close;volume;market;close_ratio;spread
bitcoin;BTC;Bitcoin;28/04/2013;1;135,3;135,98;132,1;134,21;0;1488566728;0,5438;3,88
bitcoin;BTC;Bitcoin;29/04/2013;1;134,44;147,49;134;144,54;0;1603768865;0,7813;13,49
bitcoin;BTC;Bitcoin;30/04/2013;1;144;146,93;134,05;139;0;1542813125;0,3843;12,88
bitcoin;BTC;Bitcoin;01/05/2013;1;139;139,89;107,72;116,99;0;1298954594;0,2882;32,17
bitcoin;BTC;Bitcoin;02/05/2013;1;116,38;125,6;92,28;105,21;0;1168517495;0,3881;33,32
bitcoin;BTC;Bitcoin;03/05/2013;1;106,25;108,13;79,1;97,75;0;1085995169;0,6424;29,03
bitcoin;BTC;Bitcoin;04/05/2013;1;98,1;115;92,5;112,5;0;1250316563;0,8889;22,5
bitcoin;BTC;Bitcoin;05/05/2013;1;112,9;118,8;107,14;115,91;0;1288693176;0,7521;11,66
bitcoin;BTC;Bitcoin;06/05/2013;1;115,98;124,66;106,64;112,3;0;1249023060;0,3141;18,02
bitcoin;BTC;Bitcoin;07/05/2013;1;112,25;113,44;97,7;111,5;0;1240593600;0,8767;15,74
bitcoin;BTC;Bitcoin;08/05/2013;1;109,6;115,78;109,6;113,57;0;1264049202;0,6424;6,18
bitcoin;BTC;Bitcoin;09/05/2013;1;113,2;113,46;109,26;112,67;0;1254535382;0,8119;4,2
bitcoin;BTC;Bitcoin;10/05/2013;1;112,8;122;111,55;117,2;0;1305479080;0,5407;10,45
bitcoin;BTC;Bitcoin;11/05/2013;1;117,7;118,68;113,01;115,24;0;1284207489;0,3933;5,67
bitcoin;BTC;Bitcoin;12/05/2013;1;115,64;117,45;113,43;115;0;1281982625;0,3905;4,02
bitcoin;BTC;Bitcoin;13/05/2013;1;114,82;118,7;114,5;117,98;0;1315710011;0,8286;4,2
bitcoin;BTC;Bitcoin;14/05/2013;1;117,98;119,8;110,25;111,5;0;1243874488;0,1309;9,55
bitcoin;BTC;Bitcoin;15/05/2013;1;111,4;115,81;103,5;114,22;0;1274623813;0,8708;12,31
bitcoin;BTC;Bitcoin;16/05/2013;1;114,22;118,76;112,2;118,76;0;1325726787;1;6,56
bitcoin;BTC;Bitcoin;17/05/2013;1;118,21;125,3;116,57;123,01;0;1373723882;0,7377;8,73
bitcoin;BTC;Bitcoin;18/05/2013;1;123,5;125,25;122,3;123,5;0;1379574546;0,4068;2,95
bitcoin;BTC;Bitcoin;19/05/2013;1;123,21;124,5;119,57;121,99;0;1363204703;0,4909;4,93
bitcoin;BTC;Bitcoin;20/05/2013;1;122,5;123,62;120,12;122;0;1363709900;0,5371;3,5
bitcoin;BTC;Bitcoin;21/05/2013;1;122,02;123;121,21;122,88;0;1374013440;0,933;1,79
bitcoin;BTC;Bitcoin;06/02/2014;1;815,59;819,81;770,59;781,55;50108700;9662791119;0,2227;49,22
bitcoin;BTC;Bitcoin;07/02/2014;1;783,2;783,2;654,35;712,4;113643000;8810607000;0,4505;128,85
bitcoin;BTC;Bitcoin;08/02/2014;1;699,57;721,82;661,87;673,92;38742600;8337738240;0,201;59,95
bitcoin;BTC;Bitcoin;09/02/2014;1;671,46;712,27;655,25;682,9;39311400;8451228950;0,4849;57,02
